ihghgighi;contaCreditoCode;data;valor;historico;numeroDocumento
;2.1.3.02.004;31/01/2025;139.79;IRRF SALARIO;FIL095
;2.1.3.02.004;31/01/2025;1699.88;IRRF SALARIO;FIL095
;2.1.3.02.004;31/01/2025;721.53;IRRF SALARIO;FIL095
;2.1.3.02.004;31/01/2025;40971.21;IRRF SALARIO;FIL095
;2.1.3.02.001;31/01/2025;908.85;INSS FÉRIAS;FIL095
;2.1.3.02.001;31/01/2025;908.85;INSS FÉRIAS;FIL095
;2.1.3.02.004;31/01/2025;70935.58;IRRF SALARIO;FIL095
;2.1.3.02.004;31/01/2025;27016.82;IRRF SALARIO;FIL095
;2.1.3.02.004;31/01/2025;3498.44;IRRF SALARIO;FIL095
3.3.1.01.014;;31/01/2025;300;AJUDA DE CUSTO;FIL095
1.1.5.01.001;1.1.5.01.002;31/01/2025;51875.23;"OP 5020 - IMPORTACAO - NF 002444 | 000050 
FLOTTWEG SE PROC  000400 IMP009043/25 ";CUSTOS
3.3.1.01.001;;31/01/2025;57045;SALÁRIO BASE;FIL095
3.3.1.01.001;;31/01/2025;22450.58;SALÁRIO BASE;FIL095
;2.1.3.01.001;31/01/2025;169772.04;LIQUIDO SALARIO;FIL095
3.3.1.01.001;;31/01/2025;10928.75;SALÁRIO BASE;FIL095
3.3.1.01.001;;31/01/2025;4350;SALÁRIO BASE;FIL095
3.3.1.01.001;;31/01/2025;7350;SALÁRIO BASE;FIL095
3.3.1.01.001;;31/01/2025;4900;SALÁRIO BASE;FIL095
3.3.1.01.001;;31/01/2025;34232.52;SALÁRIO BASE;FIL095
3.3.1.01.001;;31/01/2025;25337.48;SALÁRIO BASE;FIL095
3.3.1.01.001;;31/01/2025;18389.23;SALÁRIO BASE;FIL095
3.3.1.01.001;;31/01/2025;7413.81;SALÁRIO BASE;FIL095
3.3.1.01.001;;31/01/2025;55757.94;SALÁRIO BASE;FIL095
3.3.1.01.001;;31/01/2025;14152.28;SALÁRIO BASE;FIL095
3.3.1.01.008;;31/01/2025;205301.94;BONUS;FIL095
3.3.1.01.008;;31/01/2025;79615.38;BONUS;FIL095
3.3.1.01.008;;31/01/2025;9886.43;BONUS;FIL095
3.3.1.01.008;;31/01/2025;1708.2;BONUS;FIL095
3.3.1.01.008;;31/01/2025;3230.77;BONUS;FIL095
3.3.1.01.008;;31/01/2025;1938.46;BONUS;FIL095
3.3.1.01.008;;31/01/2025;118963.51;BONUS;FIL095
3.3.1.01.008;;31/01/2025;55399.01;BONUS;FIL095
3.3.1.01.008;;31/01/2025;75168.27;BONUS;FIL095
3.3.1.01.008;;31/01/2025;73964.42;BONUS;FIL095
3.3.1.01.008;;31/01/2025;51657.85;BONUS;FIL095
3.3.1.01.008;;31/01/2025;12550.33;BONUS;FIL095
3.3.1.01.020;;31/01/2025;25.48;DIF ABONO FÉRIAS;FIL095
3.3.1.01.021;;31/01/2025;1943.07;13º SALARIO 1ª PARCELA;FIL095
3.3.1.01.021;;31/01/2025;4948.95;13º SALARIO 1ª PARCELA;FIL095
3.3.1.01.014;;31/01/2025;2518.79;AJUDA DE CUSTO;FIL095
3.3.1.01.014;;31/01/2025;1300;AJUDA DE CUSTO;FIL095
3.3.1.01.014;;31/01/2025;650;AJUDA DE CUSTO;FIL095
3.3.1.01.014;;31/01/2025;650;AJUDA DE CUSTO;FIL095
3.3.1.01.014;;31/01/2025;650;AJUDA DE CUSTO;FIL095
;2.1.3.02.001;31/01/2025;951.62;INSS SALARIO;FIL095
;2.1.3.02.001;31/01/2025;294.65;INSS SALARIO;FIL095
;2.1.3.02.001;31/01/2025;1394.15;INSS SALARIO;FIL095
;2.1.3.02.001;31/01/2025;657.73;INSS SALARIO;FIL095
;2.1.3.02.001;31/01/2025;951.62;INSS SALARIO;FIL095
;2.1.3.02.001;31/01/2025;766.96;INSS SALARIO;FIL095
;2.1.3.02.001;31/01/2025;951.62;INSS SALARIO;FIL095
;2.1.3.02.001;31/01/2025;1903.24;INSS SALARIO;FIL095
;2.1.3.02.001;31/01/2025;42.77;INSS SALARIO;FIL095
;2.1.3.02.001;31/01/2025;42.77;INSS SALARIO;FIL095
;2.1.3.02.001;31/01/2025;3849.25;INSS SALARIO;FIL095
;2.1.3.02.001;31/01/2025;42.77;INSS SALARIO;FIL095
;2.1.3.02.001;31/01/2025;656.97;INSS FÉRIAS;FIL095
;2.1.3.02.001;31/01/2025;908.85;INSS FÉRIAS;FIL095
;2.1.3.02.001;31/01/2025;908.85;INSS FÉRIAS;FIL095
;2.1.3.02.004;31/01/2025;19887.14;IRRF SALARIO;FIL095
;2.1.3.02.004;31/01/2025;25559.47;IRRF SALARIO;FIL095
;2.1.3.02.004;31/01/2025;21327.69;IRRF SALARIO;FIL095
;2.1.3.02.004;31/01/2025;23575.33;IRRF SALARIO;FIL095
;2.1.3.02.004;31/01/2025;6291.9;IRRF SALARIO;FIL095
;2.1.3.01.004;31/01/2025;1736.02;PENSAO ALIMENTÍCIA S/SALÁRIO(%);FIL095
;2.1.3.01.004;31/01/2025;456.31;PENSAO ALIMENTICIA (V);FIL095
;1.1.3.01.001;31/01/2025;22818;DESC ADIANTAMENTO SALÁRIO;FIL095
;1.1.3.01.001;31/01/2025;8980.23;DESC ADIANTAMENTO SALÁRIO;FIL095
;1.1.3.01.001;31/01/2025;4371.5;DESC ADIANTAMENTO SALÁRIO;FIL095
;1.1.3.01.001;31/01/2025;1554.46;DESC ADIANTAMENTO SALÁRIO;FIL095
;1.1.3.01.001;31/01/2025;2940;DESC ADIANTAMENTO SALÁRIO;FIL095
;1.1.3.01.001;31/01/2025;1764;DESC ADIANTAMENTO SALÁRIO;FIL095
;1.1.3.01.001;31/01/2025;13693.01;DESC ADIANTAMENTO SALÁRIO;FIL095
;1.1.3.01.001;31/01/2025;9734.99;DESC ADIANTAMENTO SALÁRIO;FIL095
;1.1.3.01.001;31/01/2025;7355.69;DESC ADIANTAMENTO SALÁRIO;FIL095
;1.1.3.01.001;31/01/2025;2965.52;DESC ADIANTAMENTO SALÁRIO;FIL095
;1.1.3.01.001;31/01/2025;22303.18;DESC ADIANTAMENTO SALÁRIO;FIL095
;1.1.3.01.001;31/01/2025;5660.91;DESC ADIANTAMENTO SALÁRIO;FIL095
;2.1.3.02.005;31/01/2025;120;CONTRIBUIÇÃO ASSISTENCIAL;FIL095
;2.1.3.02.005;31/01/2025;120;CONTRIBUIÇÃO ASSISTENCIAL;FIL095
;2.1.3.02.005;31/01/2025;227.36;CONTRIBUIÇÃO ASSISTENCIAL;FIL095
;2.1.3.02.005;31/01/2025;120;CONTRIBUIÇÃO ASSISTENCIAL;FIL095
;2.1.3.02.005;31/01/2025;120;CONTRIBUIÇÃO ASSISTENCIAL;FIL095
;2.1.3.02.005;31/01/2025;120;CONTRIBUIÇÃO ASSISTENCIAL;FIL095
;2.1.3.02.005;31/01/2025;120;CONTRIBUIÇÃO ASSISTENCIAL;FIL095
;2.1.3.02.005;31/01/2025;240;CONTRIBUIÇÃO ASSISTENCIAL;FIL095
;2.1.3.02.005;31/01/2025;120;CONTRIBUIÇÃO ASSISTENCIAL;FIL095
;2.1.3.02.005;31/01/2025;120;CONTRIBUIÇÃO ASSISTENCIAL;FIL095
;2.1.3.02.005;31/01/2025;600;CONTRIBUIÇÃO ASSISTENCIAL;FIL095
;2.1.3.02.005;31/01/2025;120;CONTRIBUIÇÃO ASSISTENCIAL;FIL095
;1.1.3.01.002;31/01/2025;4812.29;LIQUIDO FÉRIAS;FIL095
;1.1.3.01.002;31/01/2025;2914.52;LIQUIDO FÉRIAS;FIL095
;1.1.3.01.002;31/01/2025;10122.43;LIQUIDO FÉRIAS;FIL095
;1.1.3.01.002;31/01/2025;20590.71;LIQUIDO FÉRIAS;FIL095
;1.1.3.01.002;31/01/2025;19981.19;LIQUIDO FÉRIAS;FIL095
;1.1.3.01.002;31/01/2025;13917.62;LIQUIDO FÉRIAS;FIL095
;1.1.3.01.003;31/01/2025;1943.07;DESC VALOR JÁ PAGO 13º;FIL095
;1.1.3.01.003;31/01/2025;4948.95;DESC VALOR JÁ PAGO 13º;FIL095
3.3.1.03.011;;31/01/2025;2281.8;PREV PRIVADA PAGTO(AJUDA CUSTO);FIL095
;3.3.1.03.003;31/01/2025;31.5;CONV. MÉDICO - UNIMED- COPART;FIL095
;3.3.1.03.003;31/01/2025;31.5;CONV. MÉDICO - UNIMED- COPART;FIL095
;3.3.1.03.003;31/01/2025;94.5;CONV. MÉDICO - UNIMED- COPART;FIL095
;3.3.1.03.003;31/01/2025;31.5;CONV. MÉDICO - UNIMED- COPART;FIL095
;3.3.1.03.003;31/01/2025;63;CONV. MÉDICO - UNIMED- COPART;FIL095
3.3.1.01.016;;31/01/2025;3209;AUXILIO MORADIA (C/INC);FIL095
;2.1.3.02.004;31/01/2025;517.57;IRRF DESCONTADO NO REC. FERIAS;FIL095
;2.1.3.02.004;31/01/2025;2603.68;IRRF DESCONTADO NO REC. FERIAS;FIL095
;2.1.3.02.004;31/01/2025;5190.16;IRRF DESCONTADO NO REC. FERIAS;FIL095
;2.1.3.02.004;31/01/2025;3298.15;IRRF DESCONTADO NO REC. FERIAS;FIL095
;2.1.3.02.004;31/01/2025;4043.24;IRRF DESCONTADO NO REC. FERIAS;FIL095
3.3.1.01.020;;31/01/2025;4490.12;FERIAS PAGAS EM RECIBO;FIL095
3.3.1.01.020;;31/01/2025;9194.62;FERIAS PAGAS EM RECIBO;FIL095
3.3.1.01.020;;31/01/2025;14827.62;FERIAS PAGAS EM RECIBO;FIL095
3.3.1.01.020;;31/01/2025;10899.93;FERIAS PAGAS EM RECIBO;FIL095
3.3.1.01.020;;31/01/2025;14152.28;FERIAS PAGAS EM RECIBO;FIL095
3.3.1.01.020;;31/01/2025;988.51;FERIAS EM DOBRO PAGAS EM RECIBO;FIL095
3.3.1.01.020;;31/01/2025;1031.6;MEDIAS/ADICIONAIS FERIAS PAGAS EM RECIBO;FIL095
3.3.1.01.020;;31/01/2025;1496.71;1/3 FERIAS PAGAS EM RECIBO;FIL095
3.3.1.01.020;;31/01/2025;3408.74;1/3 FERIAS PAGAS EM RECIBO;FIL095
3.3.1.01.020;;31/01/2025;4942.54;1/3 FERIAS PAGAS EM RECIBO;FIL095
3.3.1.01.020;;31/01/2025;3633.31;1/3 FERIAS PAGAS EM RECIBO;FIL095
3.3.1.01.020;;31/01/2025;4717.43;1/3 FERIAS PAGAS EM RECIBO;FIL095
3.3.1.01.020;;31/01/2025;2185.89;ABONO FERIAS PAGO EM RECIBO;FIL095
3.3.1.01.020;;31/01/2025;4448.29;ABONO FERIAS PAGO EM RECIBO;FIL095
3.3.1.01.020;;31/01/2025;7241.22;ABONO FERIAS PAGO EM RECIBO;FIL095
3.3.1.01.020;;31/01/2025;728.63;1/3 ABONO FERIAS PAGO EM RECIBO;FIL095
3.3.1.01.020;;31/01/2025;1482.76;1/3 ABONO FERIAS PAGO EM RECIBO;FIL095
3.3.1.01.020;;31/01/2025;2413.73;1/3 ABONO FERIAS PAGO EM RECIBO;FIL095
3.3.1.02.001;2.1.3.02.001;31/01/2025;52469.39;VL CONTRIB. PREVID. PATRONAL;FIL095
3.3.1.02.001;2.1.3.02.001;31/01/2025;21610.56;VL CONTRIB. PREVID. PATRONAL;FIL095
3.3.1.02.001;2.1.3.02.001;31/01/2025;4163.03;VL CONTRIB. PREVID. PATRONAL;FIL095
3.3.1.02.001;2.1.3.02.001;31/01/2025;1211.64;VL CONTRIB. PREVID. PATRONAL;FIL095
3.3.1.02.001;2.1.3.02.001;31/01/2025;2116.15;VL CONTRIB. PREVID. PATRONAL;FIL095
3.3.1.02.001;2.1.3.02.001;31/01/2025;1367.69;VL CONTRIB. PREVID. PATRONAL;FIL095
3.3.1.02.001;2.1.3.02.001;31/01/2025;30639.21;VL CONTRIB. PREVID. PATRONAL;FIL095
3.3.1.02.001;2.1.3.02.001;31/01/2025;16147.29;VL CONTRIB. PREVID. PATRONAL;FIL095
3.3.1.02.001;2.1.3.02.001;31/01/2025;22080.29;VL CONTRIB. PREVID. PATRONAL;FIL095
3.3.1.02.001;2.1.3.02.001;31/01/2025;20229.68;VL CONTRIB. PREVID. PATRONAL;FIL095
3.3.1.02.001;2.1.3.02.001;31/01/2025;24389.8;VL CONTRIB. PREVID. PATRONAL;FIL095
3.3.1.02.001;2.1.3.02.001;31/01/2025;9114.46;VL CONTRIB. PREVID. PATRONAL;FIL095
3.3.1.02.001;2.1.3.02.001;31/01/2025;2623.47;VL RAT;FIL095
3.3.1.02.001;2.1.3.02.001;31/01/2025;1080.53;VL RAT;FIL095
3.3.1.02.001;2.1.3.02.001;31/01/2025;208.15;VL RAT;FIL095
3.3.1.02.001;2.1.3.02.001;31/01/2025;60.58;VL RAT;FIL095
3.3.1.02.001;2.1.3.02.001;31/01/2025;105.81;VL RAT;FIL095
3.3.1.02.001;2.1.3.02.001;31/01/2025;68.38;VL RAT;FIL095
3.3.1.02.001;2.1.3.02.001;31/01/2025;1531.96;VL RAT;FIL095
3.3.1.02.001;2.1.3.02.001;31/01/2025;807.37;VL RAT;FIL095
3.3.1.02.001;2.1.3.02.001;31/01/2025;1104.01;VL RAT;FIL095
3.3.1.02.001;2.1.3.02.001;31/01/2025;1011.48;VL RAT;FIL095
3.3.1.02.001;2.1.3.02.001;31/01/2025;1219.5;VL RAT;FIL095
3.3.1.02.001;2.1.3.02.001;31/01/2025;455.72;VL RAT;FIL095
3.3.1.02.001;2.1.3.02.001;31/01/2025;15216.12;VL OUTRAS ENTIDADES;FIL095
3.3.1.02.001;2.1.3.02.001;31/01/2025;6267.06;VL OUTRAS ENTIDADES;FIL095
3.3.1.02.001;2.1.3.02.001;31/01/2025;1207.28;VL OUTRAS ENTIDADES;FIL095
3.3.1.02.001;2.1.3.02.001;31/01/2025;351.38;VL OUTRAS ENTIDADES;FIL095
3.3.1.02.001;2.1.3.02.001;31/01/2025;613.68;VL OUTRAS ENTIDADES;FIL095
3.3.1.02.001;2.1.3.02.001;31/01/2025;396.63;VL OUTRAS ENTIDADES;FIL095
3.3.1.02.001;2.1.3.02.001;31/01/2025;8885.37;VL OUTRAS ENTIDADES;FIL095
3.3.1.02.001;2.1.3.02.001;31/01/2025;4682.72;VL OUTRAS ENTIDADES;FIL095
3.3.1.02.001;2.1.3.02.001;31/01/2025;6403.28;VL OUTRAS ENTIDADES;FIL095
3.3.1.02.001;2.1.3.02.001;31/01/2025;5866.61;VL OUTRAS ENTIDADES;FIL095
3.3.1.02.001;2.1.3.02.001;31/01/2025;7073.04;VL OUTRAS ENTIDADES;FIL095
3.3.1.02.001;2.1.3.02.001;31/01/2025;2643.19;VL OUTRAS ENTIDADES;FIL095
3.3.1.02.002;2.1.3.02.003;31/01/2025;20987.75;VL FGTS SALÁRIO;FIL095
3.3.1.02.002;2.1.3.02.003;31/01/2025;8165.27;VL FGTS SALÁRIO;FIL095
3.3.1.02.002;2.1.3.02.003;31/01/2025;1665.2;VL FGTS SALÁRIO;FIL095
3.3.1.02.002;2.1.3.02.003;31/01/2025;484.65;VL FGTS SALÁRIO;FIL095
3.3.1.02.002;2.1.3.02.003;31/01/2025;846.46;VL FGTS SALÁRIO;FIL095
3.3.1.02.002;2.1.3.02.003;31/01/2025;547.07;VL FGTS SALÁRIO;FIL095
3.3.1.02.002;2.1.3.02.003;31/01/2025;12255.68;VL FGTS SALÁRIO;FIL095
3.3.1.02.002;2.1.3.02.003;31/01/2025;6458.91;VL FGTS SALÁRIO;FIL095
